Date,Day,Week,Post Type,Topic,Hook,CTA,Status,Notes
2026-02-03,Monday,Week 1,Long post,How to answer when clients ask about AI,"'Can we do something about ChatGPT?' Your clients are going to ask this.",Save for your next call,Draft ready,Full post written - see content bank
2026-02-05,Wednesday,Week 1,Long post,The randomisation problem,"Rand Fishkin ran 2,961 prompts. Less than 1 in 100 chance of getting the same brand list twice.",What does this mean for you?,Draft ready,Rand Fishkin research angle
2026-02-07,Friday,Week 1,Short post,Stop chasing AI rankings,"You can't optimise for a metric that changes every query. Here's what to focus on instead.",Comment your take,,Quick contrarian take
2026-02-10,Monday,Week 2,Carousel,The 3-Layer Framework for AI Visibility,"Foundation. Content. Distribution. Here's what's actually working.",Save this framework,Draft ready,7-slide carousel - see content bank
2026-02-12,Wednesday,Week 2,Long post,Your footer matters more than you think,"LLMs parse your footer. Brand signals there are being picked up.",Audit your footer today,,Technical quick win
2026-02-14,Friday,Week 2,Short post,Valentine's angle,"The relationship your clients actually care about? Being found when customers search.",--,,Light touch - can skip if needed
2026-02-17,Monday,Week 3,Long post,LinkedIn posts appear in AI search within hours,"Social works fast. Here's how to use it.",Test this week,Draft ready,Distribution layer deep dive
2026-02-19,Wednesday,Week 3,Carousel,8-10 FAQs = AI visibility signal,"Don't hide your FAQs. Make them visible. Here's why.",Add FAQs to 3 pages,,Content layer tactic
2026-02-21,Friday,Week 3,Long post,Good AEO is still good SEO,"John Mueller said it directly: 'There is no such thing as GEO or AEO without doing SEO fundamentals.'",Share with your team,Draft ready,Authority quote - strong closer
2026-02-24,Monday,Week 4,Long post,Citation frequency > ranking position,"Stop tracking phantom rankings. Here's what actually matters.",Save for client calls,Draft ready,Measurement reframe
2026-02-26,Wednesday,Week 4,Story post,Vendors selling 'Position #1 in ChatGPT' will quietly disappear,"The data is meaningless. Here's what to tell clients instead.",Comment if you've seen this,,Contrarian/warning
2026-02-28,Friday,Week 4,Long post,March planning: The 3-layer checklist,"Foundation. Content. Distribution. Here's your audit checklist for Q1.",What's on your Q1 list?,,Month transition + recap

